impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,relu,16.51,4.06
activation_fused,512x512x512,64,relu,16.55,4.05
baseline,512x512x512,128,relu,16.81,7.99
activation_fused,512x512x512,128,relu,16.71,8.03
baseline,512x512x512,256,relu,16.41,16.36
activation_fused,512x512x512,256,relu,16.69,16.08
baseline,512x512x512,512,relu,4.48,119.86
activation_fused,512x512x512,512,relu,4.46,120.44
baseline,1024x2048x1024,64,relu,16.93,31.72
activation_fused,1024x2048x1024,64,relu,16.93,31.71
baseline,1024x2048x1024,128,relu,4.63,231.99
activation_fused,1024x2048x1024,128,relu,4.67,229.80
baseline,1024x2048x1024,256,relu,4.73,454.22
activation_fused,1024x2048x1024,256,relu,4.68,458.59
baseline,1024x2048x1024,512,relu,5.02,855.63
activation_fused,1024x2048x1024,512,relu,4.86,883.20
baseline,2048x2048x2048,64,relu,16.80,63.90
activation_fused,2048x2048x2048,64,relu,16.69,64.32
baseline,2048x2048x2048,128,relu,4.84,443.28
activation_fused,2048x2048x2048,128,relu,4.40,488.62
baseline,2048x2048x2048,256,relu,4.98,863.20
activation_fused,2048x2048x2048,256,relu,4.98,862.13
baseline,2048x2048x2048,512,relu,5.39,1593.88
activation_fused,2048x2048x2048,512,relu,5.32,1616.00
