impl,height,width,cin,cout,k,stride,padding,time_ms,gflops
tiled, 256, 256, 32,  32, 3, 1, 1, 1.40,  859.80
naive, 256, 256, 32,  32, 3, 1, 1, 1.43,  842.61
tiled, 256, 256, 32,  64, 3, 1, 1, 2.61,  926.30
naive, 256, 256, 32,  64, 3, 1, 1, 2.81,  858.85
tiled, 256, 256, 32,  128, 3, 1, 1, 5.07,  953.44
naive, 256, 256, 32,  128, 3, 1, 1, 5.54,  871.71
tiled, 512, 512, 32,  32, 3, 1, 1, 5.16,  937.16
naive, 512, 512, 32,  32, 3, 1, 1, 5.73,  843.21
tiled, 512, 512, 32,  64, 3, 1, 1, 10.14,  953.25
naive, 512, 512, 32,  64, 3, 1, 1, 11.33,  852.81
tiled, 512, 512, 32,  128, 3, 1, 1, 20.13,  960.14
naive, 512, 512, 32,  128, 3, 1, 1, 22.51,  858.75
tiled, 1024, 1024, 32,  32, 3, 1, 1, 20.47,  944.19
naive, 1024, 1024, 32,  32, 3, 1, 1, 23.20,  833.23
tiled, 1024, 1024, 32,  64, 3, 1, 1, 40.81,  947.20
naive, 1024, 1024, 32,  64, 3, 1, 1, 43.68,  884.85
tiled, 1024, 1024, 32,  128, 3, 1, 1, 75.10,  1029.40
naive, 1024, 1024, 32,  128, 3, 1, 1, 87.21,  886.52
